age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
0.0,Federal-gov,207107.0,Assoc-acdm,12.0,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,0.0,2080.0,40.0,Philippines,unknown
48.0,Private,276664.0,Doctorate,16.0,Married-civ-spouse,missing,Husband,White,Male,0.0,1902.0,40.18795067503348,United-States,>50K
60.0,Self-emp-not-inc,282066.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,1977.0,40.82890136706133,United-States,>50K
59.0,Private,132879.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,1902.0,40.0,United-States,>50K
38.0,?,40052.0,Some-college,10.0,Never-married,?,Not-in-family,White,Male,0.0,2001.0,45.0,United-States,<=50K
21.0,Private,109414.0,Some-college,10.0,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,0.0,1974.0,37.55279652791855,United-States,<=50K
39.0,Private,237713.0,Prof-school,15.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,2415.0,139.02353584105998,United-States,>50K
49.0,Private,199029.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,2415.0,55.0,United-States,>50K
38.0,Private,35429.0,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,2042.0,42.68145905437599,United-States,<=50K
44.0,Local-gov,101593.0,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,1876.0,50.99760785310641,United-States,<=50K
36.0,Private,126675.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1977.0,60.904519584538576,United-States,>50K
32.0,Private,156464.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,1902.0,50.0,United-States,>50K
75.0,Private,100313.0,Some-college,10.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,1902.0,40.0,United-States,>50K
38.0,###,160192.0,HS-grad,9.0,Married-civ-spouse,unknown,Husband,White,Male,0.0,2051.0,55.83839784098855,United-States,<=50K
45.0,Private,192835.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,1977.0,55.0,United-States,>50K
47.0,Self-emp-not-inc,355978.0,Doctorate,16.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,2002.0,26.504598034267385,United-States,<=50K
49.0,Private,137591.0,Some-college,10.0,Never-married,Sales,Own-child,White,Male,0.0,1762.0,40.0,United-States,<=50K
65.0,Private,200374.0,Bachelors,13.0,Married-civ-spouse,!,Husband,White,Male,0.0,1902.0,40.0,United-States,>50K
40.0,Local-gov,147372.0,Some-college,10.0,Never-married,Protective-serv,Not-in-family,White,Male,0.0,2444.0,40.0,United-States,>50K
47.0,Self-emp-inc,139268.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1977.0,60.0,United-States,>50K
34.0,Local-gov,105540.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2051.0,40.0,United-States,<=50K
29.0,Private,250967.0,Assoc-voc,11.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,1887.0,48.0,United-States,>50K
50.0,Local-gov,168672.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,1902.0,40.0,United-States,>50K
